Unnamed: 0,street_name,street_alias
1362,nguyen kim cuong,
1363,ong ich khiem,
1365,hoang phan thai,
1368,ngoai giao oan,
1370,nguyen thi nhung,
1372,xuong ca 2,
1377,le hy cat,
1385,cau rao 2,
1387,thanh loc 19,
1389,tinh lo 823,
1390,32,
1394,vinhomes ocean park,
1396,ton uc thang,
1400,phuong phu loi,
1401,chua lang,
1402,pham ngoc thach,
1405,bac 5,
1409,giang vo,
1418,hang ao,
1420,truong luu,
1421,bach ang,
1423,nguyen van cu phuong,
1424,tran hung ao phuong,
1427,chot ong,
1432,lai hung cuong,
1434,quoc lo,
1436,me tri thuong,
1440,kenh nuoc en,
1446,n3,
1447,55,
1456,xuan la,
1458,tan huong,
1461,vinh niem,
1467,nguyen inh chieu,
1469,nguyen chi thanh,
1470,ql55 tan phuoc,
1476,pham huu nhat,
1480,nguyen cuu am,
1483,ng sai gon,
1491,hoang hoa tham,
1495,hoa hung,
1500,cong ich,
1501,a sy,
1504,bau sen,
1508,t 610b,
1512,ha quang,
1516,tran vy,
1520,i o,
1521,lo than ap 1,
1522,cay gao trang bom,
1523,bui thi xuan,
1525,nguyen khang,
1526,co,
1528,t 742,
1530,mo,
1532,nguyen thi hanh,
1534,quoc lo 22,
1537,cau o tuy loan,
1539,nghia tan,
1540,o nhuan,
1541,ly chinh thang,
1542,nguyen chi thanh quan,
1543,ky ong,
1544,c4,
1545,tay hoa,
1551,thang long,
1557,lac trung,
1559,ho chi minh,
1563,ngoc my,
1566,tan vinh,
1568,nguyen oanh,
1570,hang trong,
1571,tl 41,
1575,tran quoc tuan,
1580,thuan giao,
1581,nhat tan,
1583,nguyen van huyen,
1585,nguyen trung truc,
1589,nguyen van au,
1590,tran binh,
1593,cat lai,
1596,le quang inh,
1597,bai ai,
1606,khue,
1609,ma may,
1610,trung hoa,
1614,buoi,
1620,chau long,
1621,28,
1627,nguyen n,
1637,nguyen minh hoang,
1642,banh van tran,
1644,truong n,
1645,luy ban bich,
1647,vai,
1649,to hien thanh,
1651,khuong viet,
1653,nha,
1654,hang ga,
1655,bong hang a quan su,
1658,5 ban,
1664,t 725,
1668,quoc lo 1k,
1672,la khe,
1674,luong quy,
1677,nguyen thi thap quan,
1678,47,
1680,ton that tung,
1682,long phuoc,
1683,ht42,
1684,g nhat 1,
1692,tan binh,
1693,trieu quang phuc,
1694,nguyen lam,
1695,769,
1699,cam lam khanh hoa,
1700,ne8,
1704,ke tanh,
1708,5 ky,
1709,t824,
1715,binh tri ong,
1717,nhuan,
1722,yen bai,
1724,quan nhan,
1728,quoc lo 12b,
1731,414,
1734,hoa binh,
1741,tinh,
1743,ql20,
1745,b4,
1746,n4,
1750,nguyen ngoc vu,
1755,thoai ngoc hau,
1756,ha trung,
1757,tran quoc hoan,
1758,"vanh ai 3,5",
1764,2 3 trung,
1765,ha huy giap,
1767,am au,
1769,le huu khanh,
1772,quoc lo bac 5,
1784,luong yen,
1785,seo my ty,
1788,an hoa,
1793,quoc lo 3,
1796,cat,
1805,y ty,
1815,8 lo lu,
1820,tay lan,
1822,ql 13,
1834,ly thanh tong,
1835,container,
1837,mieu ong cu,
1842,tran nhan ton,
1843,inh,
1849,tan thoi nhat 02,
1854,to hieu,
1855,ong en,
1856,bui xa,
1867,cau be,
1870,ho si phan,
1874,phong chau,
1881,thien hoa,
1888,cam lam,
1889,phan van tri,
1893,t 824,
1895,oi can,
1905,phuoc long,
1907,trung,
1910,ong co,
1912,phuong phu thanh,
1922,nguyen van tang,
1924,tinh lo 825,
1926,quoc lo n 2,
1927,an chu,
1930,van chuong,
1932,ql51,
1945,vanh ai trong,
1948,mai chi tho giang bien,
1957,vinh loc,
1965,ong hoi,
1967,tran khat chan,
1972,cat khe,
1973,nha vuong,
1974,an vuong,
1975,tan phu,
1985,xa la nga,
1988,nguyen thi thu,
1989,chanh,
1998,go huu,
2001,quoc lo 38 b,
2002,le van quoi binh,
2003,t830,
2016,15,
2019,minh khai,
2020,t 749b,
2024,hiep thanh city,
2033,phuoc binh,
2036,binh chau ho tram,
2042,nguyen huu cau,
2043,nguyen ngoc nai,
2061,nguyen thanh 8,
2062,ql21b,
2064,au,
2065,ich vong hau,
2066,lien xa,
2068,lk8,
2069,vi tri,
2071,tinh lo 287,
2075,t610b,
2078,ngo gia tu long,
2080,quoc lo 56,
2081,huu le,
2083,vng,
2085,cao toc tp hcm,
2087,ham kiem,
2098,biet thu,
2099,nhu nguyet,
2100,phu chanh,
2101,le huu trac,
2102,cau xeo,
2107,tinh lo 298,
2119,lo lu,
2121,le lu,
2127,65,
2128,t 741,
2141,nguyen hau,
2145,bo cap,
2156,tran van lai,
2162,hoang minh giam,
2167,cong vien kim quy,
2170,long thanh - au giay,
2173,25b,
2175,ql18,
2182,nguyen thi 6,
2185,mai anh tuan,
2193,kinh trung uong vinh loc a,
2198,le thi kinh,
2200,trang bom,
2202,t 716,
2203,nguyen kiem,
2207,phuoc hoa,
2208,256 lien khu 4 - 5,
2216,quoc lo 2,
2218,ngo van,
2227,quoc lo 50,
2230,bu ang,
2237,thoai ngoc hau phuong,
2238,le co,
2243,ien an,
2245,an n 02,
2246,ngoc trai,
2247,lu cam,
2258,ho tung mau,
2263,cay <unk>,
2267,bac cau,
2270,a4 hoan oi,
2271,trung luong,
2278,nguyen cuu van,
2281,tran van giau,
2283,luong inh cua,
2285,92 tan phu trung,
2286,lien xa ninh quang,
2288,lang,
2292,a ngu,
2296,nguyen khuyen,
2299,vong cung,
2308,nguyen van huong,
2310,nha nuoc ly thai to,
2312,shophouse,
2317,ql 50,
2321,le van khuong,
2324,huyen,
2327,an ngai,
2328,nguyen van thoai,
2330,ang van ngu,
2337,xuan phuong,
2343,phuc xa,
2346,chau van liem,
2356,le loi,
2357,le quang inh binh thanh,
2360,tran nhan tong,
2363,5 trinh luong,
2368,h 03,
2373,quoc lo 32,
2375,tran van mau,
2380,hoa minh 10,
2388,tinh lo 304,
2390,hoang sam,
2392,thuy khe,
2401,xuan thuy,
2404,o to tranh,
2411,ho van tang cu chi,
2413,lang nhot,
2414,no trang long,
2418,to hieu t,
2419,cay cam,
2421,nguyen khanh toan,
2424,tay ho,
2425,nguyen van qua q,
2427,oi nui,
2429,ien toan,
2435,kiet hoang ieu,
2440,nguyen cu trinh,
2441,oan nguyen tuan,
2456,22 hiep binh chanh,
2458,ong,
2465,trai,
2466,tho nhuom hoan kiem,
2475,a 5,
2487,16,
2488,ty,
2495,phan van truong,
2499,vo nghia,
2511,linh ong,
2516,2/4,
2520,be - tong,
2521,a,
2525,nguyen van kha,
2526,tang nhon phu,
2533,3 vi,
2538,che,
2539,tran huy lieu,
2540,2 thang 9,
2542,thuy khue,
2546,quoc lo 14,
2550,rung sac,
2558,inh thien ly,
2559,binh tho thu uc,
2561,nguyen luong bang noi,
2565,bui vien,
2567,pham huu lau,
2580,giang van minh,
2583,mai thuc lan,
2588,chuong,
2593,ai lo pham van ong,
2597,le van thinh,
2601,"""",
2602,uc giang,
2603,kinh vuong,
2607,3 xan,
2609,kim ong,
2610,trinh cong n,
2612,phu inh,
2614,nguyen quy canh,
2618,t725,
2621,pham the hien,
2622,cau,
2623,hoang hoa,
2626,cao trieu phat,
2630,vinh loc b,
2636,gia inh,
2637,tran hung ao hoan kiem,
2641,oi en,
2644,cua 5 ien bien phu,
2647,van tien ung,
2648,cua 5,
2650,tan phuoc ong,
2654,oc lap,
2656,nguyen hong,
2662,trung 8 quan,
2665,tran ke xuong,
2670,ho sen cau rao 2,
2672,oi cung,
2684,nguyen trai tay n,
2685,ql217,
2689,mai hac e,
2691,ao trinh nhat,
2692,ben cu ien lam ien khanh,
2696,21 thang 8,
2698,gia trang,
2699,pho co ieu,
2703,pham thai buong,
2708,hue,
2709,nhat chi mai,
2712,ninh chu,
2716,am,
2718,me suot,
2720,tinh lo 309,
2723,phuoc binh a,
2726,bac 2,
2731,long truong,
2735,23/10,
2736,tri an,
2744,hung long quy uc,
2745,le van hien,
2746,nguyen gia tri,
2748,to ky,
2750,giap bat,
2751,huong lo 20,
2757,t 825,
2758,t 825 uc hoa,
2760,le thanh tong,
2763,tieu hoc hoan n gia,
2764,ang tien ong,
2768,e bat khoi,
2769,bien bo ke tt,
2770,tay n,
2771,uc hoa thuong,
2780,nguyen van au q,
2782,ap bac,
2784,tinh lo 835,
2785,vo thanh trang,
2797,quoc lo 45,
2802,xa an 2,
2803,bien,
2806,tran huu uc,
2819,trung 8,
2820,le boi,
2827,thua uc,
2828,luu huu phuoc,
2832,648,
2833,tran nao,
2836,phung khac khoan,
2837,bo e,
2841,765,
2847,tan ky tan quy,
2851,thu uc,
2861,hung vuong phuong,
2865,mai thi luu phuong,
2868,ban co,
2878,tran ang,
2885,g 1f,
2897,6m,
2899,o nguyen van cong phuong,
2915,phan trong tue,
2918,ang van ay,
2920,phuong ai kim,
2929,tinh lo 261,
2931,truong n a,
2933,le van mien,
2934,ma lo,
2939,vuong thua vu,
2944,22/12,
2945,nguyen uc thuan,
2947,huynh van nghe,
2951,le thi trung,
2956,9c,
2962,25c,
2970,lac long quan hoi an,
2976,nga tu vung tau,
2984,ong hung thuan 11,
2988,111,
2998,xuan thuy hon rom,
3000,hoang minh chanh,
3001,410,
3005,tran nao ng hanh,
3011,cong nhan,
3017,30/4,
3021,x43,
3023,phu loi,
3029,yersin,
3033,t765,
3036,long,
3040,h04,
3051,van cao,
3053,379,
3054,ha huy tap phuong,
3059,ngan ha,
3063,cao lo,
3066,phuong tan quy,
3081,nguyen sinh sac,
3082,8,
3083,uc hoa,
3084,13,
3085,nguyen thi my,
3090,tong huu inh,
3094,ong ao,
3097,huong lo 10,
3100,tu minh,
3102,tran thanh tong,
3103,quoc lo 55,
3105,oan khue,
3111,bien ong,
3115,con,
3123,alat,
3125,5 hong,
3128,sap,
3131,phuong canh,
3132,chi lang,
3133,van chuong 2,
3136,hong thai ong,
3139,huynh thi 2,
3141,vo van yen,
3142,ql 47,
3144,xien,
3147,kham thien,
