Unnamed: 0,individual,alias
2204,hung,
2210,song lap hoa sua 11,
2212,"hoa lan 8, vinhomes riverside",
2216,vinh phuc,
2217,orchard park view,
2220,"phoenix 2, topaz elite",
2223,ha long,
2227,phuoc dong,
2232,tan phu trung,
2239,muong khen heritage,
2241,ha thien phuc,
2246,"ngoc trai, vinhomes ocean park, ecopark, ocean park, san ho, san ho 10, sao bien 19, shophouse sao bien 1, san ho 9, hai au, hai au 2, hai au 5, bien ho 10, sao bien, 6",
2251,celadon city,
2252,song khe noi hoang,
2253,cat tuong phu thanh,
2257,tan duc long an,
2260,"ch grand view, phu my hung",
2261,the panorama,
2268,"vincom center, sunwah pearl",
2270,dong tang long,
2275,"century city, binh son",
2276,"ta phin, sapa",
2277,"opal skyline, dat xanh group",
2279,tan tan quy,
2280,"penthouse serenity sky villas, serenity sky villas",
2282,"cau tram can duoc, cau tram can duoc long an",
2283,binh khanh,
2287,novaworld phan thiet,
2291,viet hung,
2294,hinode royal park kim chung,
2300,phu my van phat hung,
2311,anh tuan green riverside huynh tan phat,
2312,"103, kien hung luxury",
2315,"kimgres, bigos austdoor",
2318,"trung minh, hoa binh, casa del rio",
2323,binh an,
2326,savico,
2331,"thanh ha cienco 5, thanh ha",
2334,"novaland, novaland tan binh, botanica premier",
2338,heritage westlake,
2347,hong ha eco city,
2352,"high en villa, saroma villa dai quang minh, saroma dai quang minh, luxury villa, saroma thu thiem, saroma, thu thiem quan",
2353,"capella garden, capella nha trang",
2354,imperia,
2355,dragon hill 2,
2356,lach tray,
2359,sunshine,
2361,lucasta khang dien quan,
2364,akari city,
2365,binh minh,
2370,em dem,
2371,"sonasea van don harbor city, habor",
2380,"vinpearl nam hoi an, golden king",
2381,celadon tan phu,
2382,"duong noi ha dong, anland lakeview",
2383,tran binh,
2385,athena complex,
2387,"kikyo residence, don lap",
2388,"vinh tuong, thuong trung vinh tuong",
2396,hdi tay ho,
2397,ta li duong,
2398,the phoenix dan phuong,
2403,vsip tu son,
2407,"ruby, celadon city",
2410,thanh linh xa tan,
2417,dai kim,
2424,"starlake tay ho tay, tay, starlake",
2428,flemington,
2433,"new galaxy nha trang, block the green",
2443,8x dam sen,
2446,vp6 linh dam,
2447,hong thai,
2451,grand bay ha long,
